#time pos_x pos_y pos_z ori_x ori_y ori_z vel_x vel_y vel_z angvel_x angvel_y angvel_z Fx Fy Fz Mx My Mz Pr0 Pr1 Pr2 Pr3 Pr4
3.465981483459472656e+00 -1.399930000000000063e-01 2.228700000000000125e-02 -4.574000000000000288e-02 2.032132122470149405e-01 -7.937732325305827397e-01 -1.751462712721582715e+00 4.960682106175905159e-02 -2.776745445795670078e-02 2.543986168086506336e-02 -1.482093692479336811e-01 1.886100028825133876e-02 -8.211371437406009277e-02 -1.717650000000000343e+00 -2.865400000000000169e-01 -1.060000000000002274e+00 -4.149676899999999585e-03 -1.535699999999999843e-01 -2.261849999999999972e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.660362237332035635e-46 2.016994247008365472e-27
3.492992877960205078e+00 -1.387039999999999940e-01 2.143300000000000760e-02 -4.502100000000003321e-02 1.922437139097437075e-01 -7.936811178196094829e-01 -1.760070211290264641e+00 4.876158644527796293e-02 -3.314864946043336730e-02 2.845707726301663007e-02 -5.348604714899449913e-02 -2.883425741243035856e-01 -3.602434452107751428e-02 -2.169179999999999886e+00 -8.170199999999998575e-01 -6.149999999999806732e-01 2.853189310000000048e-02 -1.886099999999999444e-01 -2.490479999999999777e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.403646840099504730e-36 1.862133412883859058e-37
3.517989635467529297e+00 -1.374569999999999959e-01 2.056299999999999795e-02 -4.426000000000002155e-02 1.830061710117698581e-01 -7.882261171685677192e-01 -1.767745704897370151e+00 4.029098940178743593e-02 -3.987087481517564286e-02 3.208875223459146248e-02 -2.870898936149302583e-01 -2.824760198534116973e-01 -1.202391176270792006e-01 -2.516900000000000581e+00 -1.150180000000000202e+00 -2.299999999999897682e-01 5.726249309999999898e-02 -2.187799999999999745e-01 -2.619509999999999894e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.887757573563569862e-57 8.852866081708345023e-51
3.542979240417480469e+00 -1.366900000000000059e-01 1.943999999999998507e-02 -4.341700000000003890e-02 1.766167575011654556e-01 -7.768312235847063540e-01 -1.777173240149950706e+00 2.747486012174047212e-02 -3.721325393847656204e-02 2.564196850984610393e-02 -2.868086478359288538e-01 -1.850318836864870697e-01 -9.047527565962090734e-02 -2.909970000000000390e+00 -1.372450000000000170e+00 -1.310000000000002274e-01 7.787749310000000036e-02 -2.514199999999999768e-01 -2.428070000000000228e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.236249722340392994e-62 1.864233254201586489e-54
3.572002649307250977e+00 -1.359730000000000105e-01 1.855299999999998617e-02 -4.287499999999999645e-02 1.736756603547950917e-01 -7.710557162878362014e-01 -1.779167573057174767e+00 2.349578991140349390e-02 -2.719883008656572010e-02 1.890402009420353094e-02 -1.448395691720827660e-01 -1.748254282223048461e-01 1.810104934082943252e-03 -3.101609999999999978e+00 -1.565160000000000107e+00 5.700000000001637090e-02 9.118369310000000449e-02 -2.686399999999999899e-01 -1.898939999999999656e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.964638817410670889e-49 3.185970743913446613e-55
3.596988916397094727e+00 -1.354210000000000136e-01 1.797099999999998698e-02 -4.239599999999998925e-02 1.660040355616350105e-01 -7.672117818117163424e-01 -1.784466528466793100e+00 2.134612753332881113e-02 -2.480712103217172504e-02 1.514434727528574109e-02 -6.557424626690610062e-03 -1.874353126692230587e-01 3.897413857804854238e-03 -3.221740000000000492e+00 -1.639519999999999644e+00 -1.059999999999945430e-01 9.604089309999999657e-02 -2.747500000000000497e-01 -1.840010000000000256e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.396604086358551866e-46 2.497114487821599263e-55
3.621988296508789062e+00 -1.349059999999999981e-01 1.731299999999999506e-02 -4.211799999999998878e-02 1.610167376740374579e-01 -7.687574379072668052e-01 -1.787761432348586865e+00 1.962839804128178878e-02 -2.230951143309204548e-02 1.234636166846151198e-02 -2.336847022953368949e-02 -1.153607189313301112e-01 4.384243148990225186e-02 -3.321680000000000632e+00 -1.641780000000000239e+00 -2.179999999999893134e-01 9.588659310000000047e-02 -2.726600000000001245e-01 -1.652370000000000227e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 3.752119825969670336e-45 8.269770646904389841e-55
3.657411575317382812e+00 -1.342349999999999932e-01 1.662299999999999889e-02 -4.165000000000002034e-02 1.569786388632050667e-01 -7.643431369861346525e-01 -1.788093698387749342e+00 1.385996650075997476e-02 -1.456312150925383533e-02 1.117235180162673945e-02 -7.151805842135872116e-02 -1.150694920867970233e-01 2.831500970284700838e-02 -3.418460000000000498e+00 -1.625310000000000255e+00 -7.030000000000029559e-01 9.143279309999999271e-02 -2.639100000000000890e-01 -1.278479999999999894e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 5.743961108348512661e-55 6.051121103857513859e-54
3.685985565185546875e+00 -1.340189999999999992e-01 1.638100000000000667e-02 -4.140300000000002312e-02 1.524152907259517242e-01 -7.626878831017500637e-01 -1.791900410996102755e+00 1.188768901333072704e-02 -5.485242283004381630e-03 6.672212744244863936e-03 2.613291329416150138e-02 -1.121005457235048075e-01 1.563472360116242160e-02 -3.424560000000000493e+00 -1.686339999999999950e+00 -7.769999999999868123e-01 9.308829309999999690e-02 -2.656799999999999162e-01 -1.064239999999999631e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 9.586780410824692545e-60 3.816781998163385341e-52
3.713015317916870117e+00 -1.335739999999999983e-01 1.631799999999999917e-02 -4.127900000000001013e-02 1.481099721809320258e-01 -7.644006631349933301e-01 -1.793352082114184620e+00 1.106813408650463189e-02 -5.111325810782024748e-03 8.070514438076993938e-03 -1.317769782369608844e-01 -1.274536263402054233e-02 -1.885531961597498515e-02 -3.409950000000000259e+00 -1.562440000000000051e+00 -8.739999999999952252e-01 8.690509309999999710e-02 -2.580899999999999306e-01 -8.635999999999990906e-04 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.969296455477517278e-56 3.161821983642339666e-51
3.738026857376098633e+00 -1.334430000000000061e-01 1.611499999999999044e-02 -4.098299999999999166e-02 1.535782943027524106e-01 -7.558506650043068653e-01 -1.792084998231447512e+00 1.634177536845355522e-02 -3.158494398944694959e-03 1.534125850916056959e-02 -2.900626255008537102e-01 1.405835865293053426e-02 -6.908892383414722005e-02 -3.346370000000000289e+00 -1.346190000000000442e+00 -1.110999999999989996e+00 7.695059310000000596e-02 -2.388000000000001233e-01 1.080650000000000013e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 5.466551326405022094e-64 5.030793678180457736e-47
3.763988971710205078e+00 -1.327409999999999979e-01 1.615700000000000469e-02 -4.049700000000000522e-02 1.535765763493337488e-01 -7.501340933358818797e-01 -1.793119905734062547e+00 3.496648528811282380e-02 3.810326960399791109e-03 2.621043090941575782e-02 -2.191838286008845893e-01 -1.126243342549403947e-01 -4.080962298716917999e-03 -3.485470000000000290e+00 -1.323139999999999983e+00 -1.274999999999977263e+00 8.806569309999999484e-02 -2.415599999999999969e-01 9.967600000000000071e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 5.095415778381517743e-66 4.941741061334309463e-56
3.789990901947021484e+00 -1.316259999999999930e-01 1.631299999999999417e-02 -3.962100000000001732e-02 1.492338295694040362e-01 -7.434509640454898260e-01 -1.795258051956007517e+00 5.558784653430640793e-02 3.666641023603131599e-03 3.794091112658933701e-02 -2.039728579392686980e-01 -1.894205868359464806e-01 4.248479568496289771e-02 -3.617250000000000298e+00 -1.445250000000000146e+00 -1.377999999999985903e+00 1.010471931000000018e-01 -2.482400000000000162e-01 2.245799999999999186e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.856074008454658836e-70 5.372000081196763155e-70
3.814989328384399414e+00 -1.299059999999999937e-01 1.634399999999999742e-02 -3.856200000000004069e-02 1.439274351199433255e-01 -7.378427275248626849e-01 -1.797482033077088426e+00 7.065455438971304791e-02 -6.441326872448175159e-03 4.875004219924498200e-02 -4.632603128456772579e-01 -1.784151732920115363e-01 -4.211687978612857486e-02 -3.660239999999999938e+00 -1.534879999999999800e+00 -1.250999999999976353e+00 1.114051930999999940e-01 -2.555600000000000094e-01 -7.917000000000000426e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.925432270357224852e-87 2.847296603242398186e-89
3.839980602264404297e+00 -1.280940000000000134e-01 1.599100000000000521e-02 -3.718399999999999483e-02 1.444919917744909021e-01 -7.188664910003605968e-01 -1.800592981217195909e+00 1.009359791684549812e-01 -6.661054511116833339e-03 6.777072877977131926e-02 -5.861761815518722329e-01 -2.424045633282303491e-01 -6.514364233903266466e-02 -3.881650000000000489e+00 -1.657520000000000326e+00 -1.300999999999987722e+00 1.254971930999999874e-01 -2.687200000000000699e-01 -1.375030000000000002e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 5.242875342864711656e-113 1.978289479514744098e-127
