# epoch test_accuracy train_avg_loss test_avg_loss train_accuracy
292 80.4984 2.50e-01 6.17e-01 90.4922
293 79.8754 2.42e-01 6.29e-01 90.9418
294 78.0685 2.37e-01 6.49e-01 91.3014
295 77.6947 2.28e-01 6.79e-01 91.2565
296 78.3178 2.38e-01 6.90e-01 90.8519
297 79.4393 2.28e-01 6.96e-01 91.3689
298 75.3271 2.36e-01 6.98e-01 91.2565
299 80.2492 2.46e-01 6.46e-01 90.6721
300 80.0623 2.41e-01 6.50e-01 91.0991
301 78.3801 2.26e-01 7.00e-01 91.5037
302 78.9408 2.25e-01 5.80e-01 91.5936
303 78.3801 2.26e-01 6.71e-01 91.8184
304 78.9408 2.30e-01 6.43e-01 91.6161
305 79.5639 2.36e-01 6.01e-01 91.0317
306 79.8131 2.29e-01 6.47e-01 91.4138
307 77.6324 2.30e-01 6.74e-01 91.7285
308 79.9377 2.22e-01 5.90e-01 91.7734
309 78.2555 2.27e-01 6.72e-01 91.6610
310 76.3863 2.33e-01 6.80e-01 91.1441
311 74.9533 2.41e-01 6.93e-01 90.1776
312 80.3738 2.31e-01 6.54e-01 91.1890
313 76.6978 2.28e-01 7.05e-01 91.4588
314 79.2523 2.19e-01 6.37e-01 91.7510
315 79.7508 2.23e-01 6.58e-01 91.7959
316 74.7664 2.26e-01 8.02e-01 91.4588
317 77.5078 2.42e-01 6.33e-01 90.6271
318 78.1308 2.33e-01 6.77e-01 90.8744
319 77.3209 2.38e-01 6.53e-01 91.0991
320 75.5140 2.30e-01 8.02e-01 91.1216
321 80.3115 2.21e-01 6.57e-01 91.9308
322 76.8224 2.31e-01 6.82e-01 91.1666
323 74.0187 2.36e-01 8.17e-01 91.1216
324 76.2617 2.42e-01 8.23e-01 91.0991
325 78.7539 2.23e-01 7.20e-01 91.7060
326 81.4953 2.31e-01 5.86e-01 91.3689
327 78.1931 2.29e-01 7.12e-01 91.5487
328 79.6885 2.22e-01 6.49e-01 91.8633
329 76.5109 2.33e-01 6.45e-01 91.3689
330 76.5109 2.25e-01 7.54e-01 91.8633
331 79.8131 2.17e-01 6.46e-01 91.9532
332 78.5047 2.34e-01 6.94e-01 90.8519
333 78.4424 2.30e-01 6.75e-01 91.1216
334 78.9408 2.25e-01 6.09e-01 91.7285
335 78.1308 2.32e-01 6.76e-01 91.2789
336 76.5109 2.41e-01 7.35e-01 90.5372
337 76.9470 2.40e-01 7.63e-01 90.9193
338 79.3146 2.23e-01 6.71e-01 91.7060
339 77.4455 2.20e-01 6.85e-01 91.9308
340 78.5670 2.31e-01 7.19e-01 91.7959
341 79.4393 2.23e-01 6.16e-01 91.7734
342 80.0000 2.32e-01 5.87e-01 91.4812
343 79.5639 2.23e-01 7.06e-01 91.7734
344 76.6978 2.19e-01 7.70e-01 91.8184
345 78.3178 2.34e-01 6.89e-01 91.1890
346 80.0000 2.37e-01 6.92e-01 90.6046
347 79.8131 2.39e-01 6.18e-01 90.8744
348 79.3146 2.33e-01 6.49e-01 91.0317
349 77.5078 2.34e-01 6.60e-01 91.1890
350 77.7570 2.24e-01 6.50e-01 91.7959
351 79.0031 2.27e-01 6.59e-01 91.0317
352 77.5701 2.34e-01 6.55e-01 91.2565
353 77.2586 2.28e-01 7.11e-01 91.3464
354 77.6324 2.18e-01 7.43e-01 91.8184
355 80.7477 2.33e-01 6.67e-01 91.3239
356 81.1838 2.26e-01 6.33e-01 91.7285
357 78.9408 2.30e-01 6.58e-01 91.2340
358 78.7539 2.36e-01 6.69e-01 91.4363
359 77.7570 2.40e-01 6.90e-01 91.2115
360 76.8224 2.23e-01 7.66e-01 91.1890
361 79.2523 2.17e-01 6.78e-01 91.9982
362 79.6885 2.22e-01 6.67e-01 92.0656
363 78.1931 2.32e-01 6.30e-01 91.3014
364 77.4455 2.41e-01 6.77e-01 90.8968
365 78.9408 2.23e-01 6.86e-01 91.3913
366 78.3178 2.26e-01 6.46e-01 91.4363
367 78.3178 2.29e-01 7.45e-01 91.3239
368 80.1869 2.20e-01 6.62e-01 91.9982
369 79.4393 2.22e-01 6.31e-01 91.7510
370 79.0031 2.27e-01 6.27e-01 91.2565
371 79.6885 2.54e-01 6.70e-01 90.1101
372 80.2492 2.26e-01 6.23e-01 91.3464
373 76.3863 2.39e-01 8.15e-01 90.5822
374 78.3178 2.27e-01 6.95e-01 91.2565
375 77.6324 2.45e-01 7.19e-01 91.1216
376 77.0093 2.37e-01 7.17e-01 90.7620
377 79.6885 2.20e-01 6.49e-01 91.9308
378 79.0031 2.28e-01 6.41e-01 90.9867
379 76.7601 2.32e-01 8.16e-01 90.9418
380 77.6947 2.34e-01 7.66e-01 91.2789
381 78.6916 2.35e-01 6.31e-01 90.9643
382 78.5670 2.26e-01 6.63e-01 91.1666
383 78.3801 2.29e-01 6.92e-01 91.7510
384 78.7539 2.17e-01 6.78e-01 91.9757
385 78.6916 2.18e-01 6.49e-01 91.9083
386 78.3178 2.25e-01 7.48e-01 91.9083
387 79.3769 2.20e-01 7.07e-01 91.5711
388 76.5109 2.27e-01 8.04e-01 91.3689
389 79.5639 2.37e-01 6.66e-01 91.0092
390 78.2555 2.23e-01 7.17e-01 92.2230
391 79.1900 2.21e-01 7.19e-01 91.4138
392 76.5109 2.24e-01 7.50e-01 91.6835
393 79.0031 2.29e-01 6.66e-01 91.4588
394 78.5047 2.28e-01 7.50e-01 91.3464
395 78.0685 2.23e-01 6.51e-01 91.3014
396 78.6916 2.37e-01 6.51e-01 90.5822
397 78.3178 2.33e-01 6.92e-01 91.2340
398 78.8785 2.31e-01 6.74e-01 91.1441
399 77.9439 2.54e-01 6.53e-01 90.3574
