# epoch test_accuracy train_avg_loss test_avg_loss train_accuracy
369 75.0000 6.17e-02 1.97e+00 97.0000
370 76.0000 7.66e-02 1.85e+00 97.0000
371 77.0000 7.25e-02 1.82e+00 97.0000
372 77.0000 5.11e-02 1.83e+00 98.0000
373 77.0000 5.26e-02 1.82e+00 98.0000
374 75.0000 4.96e-02 1.89e+00 98.0000
375 77.0000 6.19e-02 1.82e+00 97.0000
376 77.0000 5.50e-02 1.82e+00 98.0000
377 77.0000 6.15e-02 1.86e+00 97.0000
378 75.0000 7.56e-02 1.97e+00 97.0000
379 74.0000 1.09e-01 1.93e+00 96.0000
380 76.0000 9.02e-02 1.90e+00 97.0000
381 75.0000 9.76e-02 1.96e+00 96.0000
382 76.0000 7.70e-02 1.91e+00 97.0000
383 76.0000 7.29e-02 1.95e+00 97.0000
384 74.0000 8.36e-02 2.23e+00 97.0000
385 75.0000 9.00e-02 2.18e+00 97.0000
386 72.0000 7.74e-02 2.25e+00 97.0000
387 74.0000 7.40e-02 2.17e+00 97.0000
388 75.0000 7.01e-02 2.11e+00 97.0000
389 75.0000 5.63e-02 2.16e+00 98.0000
390 75.0000 5.85e-02 2.13e+00 97.0000
391 75.0000 5.48e-02 2.14e+00 98.0000
392 74.0000 5.51e-02 2.13e+00 98.0000
393 74.0000 5.41e-02 2.11e+00 98.0000
394 75.0000 5.89e-02 2.17e+00 97.0000
395 75.0000 5.70e-02 2.21e+00 98.0000
396 75.0000 5.04e-02 2.17e+00 98.0000
397 74.0000 5.86e-02 2.18e+00 98.0000
398 75.0000 6.81e-02 2.09e+00 97.0000
399 75.0000 6.42e-02 2.10e+00 97.0000
